image_file,width,height,aspect_ratio,rms_contrast,lightness_entropy,complexity,edge_density,mean_L,mean_a,mean_b,color_entropy,mirror_symmetry,balance,fourier_slope,eoe_1st,eoe_2nd,ssim,lpips,lab_ok,rms_ok,edge_ok,eoe_ok,color_entropy_ok,fourier_ok,symmetry_ok,balance_ok,compliance_pct,img_file
67070_306074.jpg,2000,,1.0,29.597,,2.322,55.659,79.336,0.6521,-2.558,3.145,16.664,28.863,,3.847,0.0009346,,,False,True,False,False,True,False,False,False,25.0,67070_306074.jpg
67230_314531.jpg,2000,,1.0,8.887,,1.446,26.258,88.118,1.134,5.745,3.869,3.478,13.058,,4.124,0.0008491,,,False,False,False,True,True,False,True,True,50.0,67230_314531.jpg
67230_314532.jpg,2000,,1.0,15.475,,1.937,33.383,86.724,4.073,3.834,4.51,3.354,20.945,,3.845,0.0008508,,,False,True,False,False,True,False,True,False,37.5,67230_314532.jpg
67306_460820.jpg,2000,,1.0,25.353,,2.858,72.622,67.507,-0.3157,10.419,4.549,10.406,19.695,,3.764,0.0007363,,,True,True,False,False,True,False,False,True,50.0,67306_460820.jpg
67306_460821.jpg,2000,,1.0,14.015,,2.102,36.298,81.696,1.754,10.761,3.125,2.593,10.067,,4.196,0.001118,,,True,False,False,True,True,False,True,True,62.5,67306_460821.jpg
67306_460822.jpg,2000,,1.0,15.925,,2.071,39.237,81.991,1.155,10.188,3.537,4.962,10.634,,4.236,0.001107,,,True,True,False,True,True,False,True,True,75.0,67306_460822.jpg
67306_460823.jpg,2000,,1.0,23.879,,3.07,70.179,75.7,-1.903,11.828,4.301,11.487,24.115,,4.278,0.0008568,,,True,True,False,True,True,False,False,False,50.0,67306_460823.jpg
67361_309979.jpg,1572,,1.339,11.865,,3.154,42.903,82.989,9.481,5.161,3.682,40.21,19.444,,4.445,0.0007587,,,False,False,False,True,True,False,False,True,37.5,67361_309979.jpg
67553_199203.jpg,4000,,1.0,29.914,,1.41,77.997,78.762,5.633,6.033,3.023,23.53,26.653,,4.256,0.0008583,,,False,True,False,True,True,False,False,False,37.5,67553_199203.jpg
67611_346448.jpg,1200,,1.0,24.08,,8.207,66.685,69.94,2.581,0.3918,4.734,11.21,18.4,,4.497,0.0005976,,,False,True,False,True,True,False,False,True,50.0,67611_346448.jpg
67659_318561.jpeg,1000,,1.0,23.609,,8.549,121.928,88.198,1.084,1.25,1.368,2.491,13.936,,3.513,0.000814,,,False,True,False,False,False,False,True,True,37.5,67659_318561.jpeg
67660_543047.jpg,2000,,1.0,19.378,,2.096,41.208,75.408,4.728,14.687,2.824,4.61,17.451,,3.792,0.001206,,,True,True,False,False,False,False,True,True,50.0,67660_543047.jpg
67660_543048.jpg,2000,,1.0,30.502,,3.283,58.967,63.913,5.644,9.818,4.052,23.025,22.545,,4.159,0.0008061,,,True,False,False,True,True,False,False,False,37.5,67660_543048.jpg
67660_543049.jpg,2000,,1.0,31.578,,4.399,75.515,57.614,8.483,8.836,4.653,22.298,18.679,,3.983,0.0006138,,,False,False,False,False,True,False,False,True,25.0,67660_543049.jpg
67665_546813.jpg,2000,,1.0,17.419,,1.85,38.739,83.289,4.553,9.781,3.37,9.904,23.166,,3.979,0.001128,,,True,True,False,False,True,False,False,False,37.5,67665_546813.jpg
67665_546814.jpg,2000,,1.0,25.098,,2.114,48.148,77.137,4.992,9.375,3.758,17.21,29.365,,4.118,0.0009942,,,True,True,False,True,True,False,False,False,50.0,67665_546814.jpg
67665_546815.jpg,2000,,1.0,26.111,,2.979,55.017,73.433,3.58,-0.3771,4.123,15.843,12.153,,2.979,0.0008445,,,False,True,False,False,True,False,False,True,37.5,67665_546815.jpg
67674_479465.jpg,2000,,1.0,20.728,,5.312,70.592,74.862,8.072,15.796,3.115,6.916,22.867,,3.137,0.0009244,,,False,True,False,False,True,False,False,False,25.0,67674_479465.jpg
67674_479466.jpg,2000,,1.0,30.014,,7.529,113.02,59.767,9.192,18.279,4.349,23.104,17.082,,4.178,0.0005393,,,False,False,False,True,True,False,False,True,37.5,67674_479466.jpg
67674_479467.jpg,2000,,1.0,23.419,,6.003,70.469,69.153,9.123,18.003,3.562,13.684,15.144,,4.16,0.0007505,,,False,True,False,True,True,False,False,True,50.0,67674_479467.jpg
67674_479468.jpg,2000,,1.0,18.355,,3.003,35.838,75.224,6.247,8.803,3.683,6.448,18.792,,3.369,0.0008541,,,False,True,False,False,True,False,False,True,37.5,67674_479468.jpg
67684_479462.jpg,2000,,1.0,23.439,,3.873,59.305,71.144,4.149,3.04,4.357,6.379,15.837,,4.003,0.0008035,,,False,True,False,True,True,False,False,True,50.0,67684_479462.jpg
67684_479463.jpg,2000,,1.0,30.097,,6.273,89.762,59.06,6.395,3.56,5.095,21.576,14.217,,4.203,0.000559,,,False,False,False,True,True,False,False,True,37.5,67684_479463.jpg
67684_479464.jpg,2000,,1.0,20.313,,3.843,54.221,73.775,5.607,7.449,3.587,14.337,14.838,,2.998,0.0008967,,,False,True,False,False,True,False,False,True,37.5,67684_479464.jpg
67723_199222.jpg,3000,,1.0,27.004,,3.891,53.367,86.349,1.876,3.869,2.227,7.116,43.166,,4.284,0.001178,,,False,True,False,True,False,False,False,False,25.0,67723_199222.jpg
67724_199123.png,1192,,1.066,25.014,,3.077,53.082,80.529,7.182,8.668,3.129,10.13,29.815,,4.203,0.001156,,,False,True,False,True,True,False,False,False,37.5,67724_199123.png
67726_198788.png,1149,,1.156,22.285,,5.203,81.93,83.47,3.115,11.35,3.332,10.116,24.326,,4.413,0.001006,,,True,True,False,True,True,False,False,False,50.0,67726_198788.png
67727_198887.png,1137,,1.166,20.44,,3.596,62.37,85.588,3.805,9.419,2.345,11.414,26.424,,4.268,0.001161,,,True,True,False,True,False,False,False,False,37.5,67727_198887.png
67728_199124.jpg,1140,,2.065,29.336,,7.035,92.549,75.982,7.749,9.139,4.288,33.598,33.337,,4.302,0.0007704,,,False,True,False,True,True,False,False,False,37.5,67728_199124.jpg
67740_304448.jpg,900,,1.0,8.744,,2.942,30.268,81.609,2.097,-1.506,4.118,12.261,7.451,,4.041,0.0007546,,,False,False,False,True,True,False,False,True,37.5,67740_304448.jpg
67740_304449.jpg,900,,1.0,8.744,,2.942,30.268,81.609,2.097,-1.506,4.118,12.261,7.451,,4.041,0.0007546,,,False,False,False,True,True,False,False,True,37.5,67740_304449.jpg
67787_491490.jpg,2000,,1.0,17.748,,2.848,48.221,79.286,9.172,14.997,3.457,14.005,18.149,,4.166,0.001041,,,False,True,False,True,True,False,False,True,50.0,67787_491490.jpg
67787_491491.jpg,2000,,1.0,21.652,,4.977,72.032,74.887,13.233,18.956,3.934,18.153,25.252,,3.892,0.0009244,,,False,True,False,False,True,False,False,False,25.0,67787_491491.jpg
67787_491492.jpg,2000,,1.0,21.509,,3.163,56.495,71.005,18.058,17.921,3.849,32.374,20.996,,4.424,0.0009326,,,False,True,False,True,True,False,False,False,37.5,67787_491492.jpg
67787_491493.jpg,2000,,1.0,28.378,,6.15,108.993,52.285,28.025,22.782,5.06,45.982,16.594,,4.537,0.0005411,,,False,True,False,True,True,False,False,True,50.0,67787_491493.jpg
67814_199150.png,3322,,0.9904,31.081,,6.913,81.285,69.36,1.355,6.965,3.678,26.804,22.936,,3.485,0.0005678,,,False,False,False,False,True,False,False,False,12.5,67814_199150.png
67852_492864.jpg,2000,,1.0,22.017,,3.816,70.717,75.323,7.316,12.107,3.466,9.264,19.522,,4.305,0.0008935,,,False,True,False,True,True,False,False,True,50.0,67852_492864.jpg
67852_492865.jpg,2000,,1.0,27.678,,5.225,108.602,67.887,12.445,13.225,4.694,18.303,21.835,,4.426,0.0006261,,,False,True,False,True,True,False,False,False,37.5,67852_492865.jpg
67852_492866.jpg,2000,,1.0,22.408,,3.618,85.855,75.041,11.895,11.147,4.582,8.631,25.505,,4.447,0.0005884,,,False,True,False,True,True,False,False,False,37.5,67852_492866.jpg
67852_492867.jpg,2000,,1.0,20.93,,3.235,66.228,73.059,6.097,10.915,3.577,12.965,19.583,,4.307,0.0007571,,,False,True,False,True,True,False,False,True,50.0,67852_492867.jpg
67866_198339.jpg,2000,,1.0,28.805,,3.89,75.848,76.635,-0.1951,-1.187,4.668,5.984,22.571,,4.294,0.0006677,,,False,True,False,True,True,False,False,False,37.5,67866_198339.jpg
67870_299762.jpg,2000,,1.0,33.826,,3.404,81.165,66.84,2.187,-6.128,4.329,15.986,12.753,,4.236,0.0007037,,,False,False,False,True,True,False,False,True,37.5,67870_299762.jpg
67918_216987.jpg,2000,,1.0,9.402,,2.866,42.71,84.802,2.865,5.691,3.482,40.878,12.35,,4.404,0.0005863,,,False,False,False,True,True,False,False,True,37.5,67918_216987.jpg
67919_216962.jpg,2000,,1.0,10.939,,2.804,41.177,82.714,3.496,4.193,3.715,31.965,12.809,,4.32,0.0005836,,,False,False,False,True,True,False,False,True,37.5,67919_216962.jpg
67922_216960.png,379,,1.414,19.937,,12.492,100.035,83.08,3.913,10.005,4.844,7.263,24.307,,4.035,0.000434,,,True,True,False,True,True,False,False,False,50.0,67922_216960.png
67940_198886.jpg,2000,,1.0,23.542,,4.117,96.55,76.013,1.765,5.091,5.648,9.395,13.051,,4.474,0.0005405,,,False,True,False,True,True,False,False,True,50.0,67940_198886.jpg
68156_485255.jpg,2000,,1.0,24.759,,3.275,66.683,61.906,1.07,13.143,4.483,19.701,17.921,,4.124,0.0006953,,,True,True,False,True,True,False,False,True,62.5,68156_485255.jpg
68156_485256.jpg,2000,,1.0,15.72,,2.99,49.423,81.919,2.757,13.116,3.439,5.066,18.401,,4.106,0.001102,,,True,True,False,True,True,False,False,True,62.5,68156_485256.jpg
68156_485257.jpg,2000,,1.0,16.898,,3.234,74.048,79.273,3.514,26.552,3.987,10.4,16.869,,4.488,0.0007579,,,True,True,False,True,True,False,False,True,62.5,68156_485257.jpg
68156_485258.jpg,2000,,1.0,15.733,,3.346,60.9,80.493,1.297,15.383,3.564,8.343,18.221,,4.42,0.0008832,,,True,True,False,True,True,False,False,True,62.5,68156_485258.jpg
68244_525949.jpg,2000,,1.0,19.154,,1.798,44.232,77.544,2.684,12.307,3.518,5.734,13.777,,3.97,0.001251,,,True,True,False,False,True,False,False,True,50.0,68244_525949.jpg
68244_525950.jpg,2000,,1.0,18.574,,2.126,47.85,76.13,2.043,11.571,3.414,7.236,13.924,,4.102,0.001087,,,True,True,False,True,True,False,False,True,62.5,68244_525950.jpg
68244_525951.jpg,2000,,1.0,19.154,,1.798,44.232,77.544,2.684,12.307,3.518,5.734,13.777,,3.97,0.001251,,,True,True,False,False,True,False,False,True,50.0,68244_525951.jpg
68244_525952.jpg,2000,,1.0,26.386,,3.016,70.211,63.311,2.478,14.032,4.122,17.523,16.381,,3.415,0.0008773,,,True,True,False,False,True,False,False,True,50.0,68244_525952.jpg
68244_525953.jpg,2000,,1.0,20.139,,2.466,54.929,76.639,2.886,11.331,3.913,6.819,12.732,,4.061,0.001133,,,True,True,False,True,True,False,False,True,62.5,68244_525953.jpg
68367_309029.jpeg,624,,1.0,18.104,,3.763,39.663,90.994,0.7034,5.176,2.364,3.458,46.297,,3.855,0.001187,,,False,True,False,False,False,False,True,False,25.0,68367_309029.jpeg
